Banco de México,,,,
,,,,
Tasas y precios de referencia,,,,
Valores Públicos,,,,
,,,,
Fecha de consulta: 19/05/2020 01:31:49,,,,
,,,,
,,,,
,,,,
Título,TIIE a 1 dia ,"TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","Fondeo promedio ponderado bancario, Tasa de interés promedio mensual, en por ciento anual","Cetes 28 días, Tasa de rendimiento promedio mensual, en por ciento anual"
Periodo disponible,Ene 2006 - Abr 2020,Mar 1995 - Abr 2020,Nov 1998 - Abr 2020,Ene 1978 - Abr 2020
Periodicidad,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,
Aviso,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles
Fecha,SF331450,SF283,SF17863,SF282
01/01/2008,7.52,7.93,7.51,7.42
01/02/2008,7.5,7.93,7.5,7.43
01/03/2008,7.5,7.93,7.5,7.43
01/04/2008,7.5,7.94,7.51,7.44
01/05/2008,7.5,7.93,7.51,7.44
01/06/2008,7.6,8,7.6,7.56
01/07/2008,7.86,8.28,7.87,7.93
01/08/2008,8.12,8.56,8.13,8.18
01/09/2008,8.25,8.66,8.26,8.17
01/10/2008,7.75,8.68,7.99,7.74
01/11/2008,7.93,8.73,8.13,7.43
01/12/2008,8.25,8.74,8.27,8.02
01/01/2009,7.99,8.41,8.02,7.59
01/02/2009,7.68,7.94,7.68,7.12
01/03/2009,7.22,7.64,7.22,7.03
01/04/2009,6.39,6.68,6.39,6.05
01/05/2009,5.58,5.78,5.6,5.29
01/06/2009,5.06,5.26,5.08,4.98
01/07/2009,4.65,4.92,4.66,4.59
01/08/2009,4.49,4.89,4.52,4.49
01/09/2009,4.51,4.91,4.53,4.48
01/10/2009,4.52,4.91,4.53,4.51
01/11/2009,4.58,4.93,4.59,4.51
01/12/2009,4.59,4.93,4.63,4.5
01/01/2010,4.58,4.91,4.61,4.49
01/02/2010,4.64,4.92,4.64,4.49
01/03/2010,4.56,4.92,4.57,4.45
01/04/2010,4.6,4.94,4.6,4.44
01/05/2010,4.6,4.94,4.6,4.52
01/06/2010,4.59,4.94,4.59,4.59
01/07/2010,4.61,4.92,4.61,4.6
01/08/2010,4.6,4.9,4.61,4.52
01/09/2010,4.56,4.9,4.57,4.43
01/10/2010,4.52,4.87,4.54,4.03
01/11/2010,4.56,4.87,4.56,3.97
01/12/2010,4.61,4.89,4.62,4.3
01/01/2011,4.55,4.86,4.58,4.14
01/02/2011,4.52,4.84,4.55,4.04
01/03/2011,4.49,4.84,4.51,4.27
01/04/2011,4.5,4.85,4.52,4.28
01/05/2011,4.47,4.85,4.49,4.31
01/06/2011,4.49,4.85,4.51,4.37
01/07/2011,4.47,4.82,4.49,4.14
01/08/2011,4.44,4.81,4.46,4.05
